PERÍODO,ANO,COMPONENTE,HABILIDADE,CONTEÚDO,A,FAROL,B,FAROL.1,C,FAROL.2,D,FAROL.3,E,FAROL.4,F,FAROL.5,G,FAROL.6,H,FAROL.7,I,FAROL.8,J,FAROL.9,K,FAROL.10,L,FAROL.11,M,FAROL.12,N,FAROL.13,O,FAROL.14,P,FAROL.15,Q,FAROL.16,R,FAROL.17,S,FAROL.18,T,FAROL.19,U,FAROL.20,V,FAROL.21
3º BIMESTRE,1º ANO,LÍNGUA PORTUGUESA,"(EF12LP01) LER PALAVRAS NOVAS COM PRECISÃO NA DECODIFICAÇÃO, NO CASO DE PALAVRAS DE USO FREQUENTE, LER GLOBALMENTE, POR MEMORIZAÇÃO.",DECODIFICAÇÃO/FLUÊNCIA EM LEITURA,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
3º BIMESTRE,1º ANO,LÍNGUA PORTUGUESA,"(EF15LP05) PLANEJAR, COM A AJUDA DO PROFESSOR, O TEXTO QUE SERÁ PRODUZIDO, CONSIDERANDO A SITUAÇÃO COMUNICATIVA, OS INTERLOCUTORES (QUEM ESCREVE/PARA QUEM ESCREVE); A FINALIDADE OU O PROPÓSITO (ESCREVER PARA QUÊ); A CIRCULAÇÃO (ONDE O TEXTO VAI CIRCULAR); O SUPORTE (QUAL É O PORTADOR DO TEXTO); A LINGUAGEM, ORGANIZAÇÃO E FORMA DO TEXTO E SEU TEMA, PESQUISANDO EM MEIOS IMPRESSOS OU DIGITAIS, SEMPRE QUE FOR PRECISO, INFORMAÇÕES NECESSÁRIAS À PRODUÇÃO DO TEXTO, ORGANIZANDO EM TÓPICOS OS DADOS E AS FONTES PESQUISADAS.",PLANEJAMENTO DO TEXTO,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
3º BIMESTRE,1º ANO,LÍNGUA PORTUGUESA,"(EF15LP09) EXPRESSAR-SE EM SITUAÇÕES DE INTERCÂMBIO ORAL COM CLAREZA, PREOCUPANDO-SE EM SER COMPREENDIDO PELO INTERLOCUTOR E USANDO A PALAVRA COM TOM DE VOZ AUDÍVEL, BOA ARTICULAÇÃO E RITMO ADEQUADO.",ORALIDADE PÚBLICA/INTERCÂMBIO CONVERSACIONAL EM SALA DE AULA,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
3º BIMESTRE,1º ANO,LÍNGUA PORTUGUESA,"(EF01LP02) ESCREVER, ESPONTANEAMENTE OU POR DITADO, PALAVRAS E FRASES DE FORMA ALFABÉTICA – USANDO LETRAS/GRAFEMAS QUE REPRESENTAM FONEMAS.",CORRESPONDÊNCIA FONEMAGRAFEMA,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
3º BIMESTRE,1º ANO,LÍNGUA PORTUGUESA,"(EF01LP08) RELACIONAR ELEMENTOS SONOROS (SÍLABAS, FONEMAS, PARTES DE PALAVRAS) COM SUA REPRESENTAÇÃO ESCRITA.",CONSTRUÇÃO DO SISTEMA ALFABÉTICO E DA ORTOGRAFIA,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
3º BIMESTRE,1º ANO,LÍNGUA PORTUGUESA,"(EF12LP04) LER E COMPREENDER, EM COLABORAÇÃO COM OS COLEGAS E COM A AJUDA DO PROFESSOR OU JÁ COM CERTA AUTONOMIA, LISTAS, AGENDAS, CALENDÁRIOS, AVISOS, CONVITES, RECEITAS, INSTRUÇÕES DE MONTAGEM (DIGITAIS OU IMPRESSOS), DENTRE OUTROS GÊNEROS DO CAMPO DA VIDA COTIDIANA, CONSIDERANDO A SITUAÇÃO COMUNICATIVA E O TEMA/ASSUNTO DO TEXTO E RELACIONANDO SUA FORMA DE ORGANIZAÇÃO À SUA FINALIDADE.",COMPREENSÃO EM LEITURA,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
3º BIMESTRE,1º ANO,LÍNGUA PORTUGUESA,"(EF01LP17) PLANEJAR E PRODUZIR, EM COLABORAÇÃO COM OS COLEGAS E COM A AJUDA DO PROFESSOR, LISTAS, AGENDAS, CALENDÁRIOS, AVISOS, CONVITES, RECEITAS, INSTRUÇÕES DE MONTAGEM E LEGENDAS PARA ÁLBUNS, FOTOS OU ILUSTRAÇÕES (DIGITAIS OU IMPRESSOS), DENTRE OUTROS GÊNEROS DO CAMPO DA VIDA COTIDIANA, CONSIDERANDO A SITUAÇÃO COMUNICATIVA E O TEMA/ASSUNTO/ FINALIDADE DO TEXTO.",ESCRITA AUTÔNOMA E COMPARTILHADA,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
3º BIMESTRE,1º ANO,LÍNGUA PORTUGUESA,"(EF01LP20) IDENTIFICAR E REPRODUZIR, EM LISTAS, AGENDAS, CALENDÁRIOS, REGRAS, AVISOS, CONVITES, RECEITAS, INSTRUÇÕES DE MONTAGEM E LEGENDAS PARA ÁLBUNS, FOTOS OU ILUSTRAÇÕES (DIGITAIS OU IMPRESSOS), A FORMATAÇÃO E DIAGRAMAÇÃO ESPECÍFICA DE CADA UM DESSES GÊNEROS.",FORMA DE COMPOSIÇÃO DO TEXTO,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
3º BIMESTRE,1º ANO,LÍNGUA PORTUGUESA,"(EF15LP10) ESCUTAR, COM ATENÇÃO, FALAS DE PROFESSORES E COLEGAS, FORMULANDO PERGUNTAS PERTINENTES AO TEMA E SOLICITANDO ESCLARECIMENTOS SEMPRE QUE NECESSÁRIO.",ESCUTA ATENTA,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
3º BIMESTRE,1º ANO,LÍNGUA PORTUGUESA,"(EF15LP06) RELER E REVISAR O TEXTO PRODUZIDO COM A AJUDA DO PROFESSOR E A COLABORAÇÃO DOS COLEGAS, PARA CORRIGI-LO E APRIMORÁ-LO, FAZENDO CORTES, ACRÉSCIMOS, REFORMULAÇÕES, CORREÇÕES DE ORTOGRAFIA E PONTUAÇÃO.",REVISÃO DE TEXTOS,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
